openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[769]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1109]: Warning: Wire user_proj_example.\la_data_out [26] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1110]: Warning: Wire user_proj_example.\la_data_out [25] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1111]: Warning: Wire user_proj_example.\la_data_out [24] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1112]: Warning: Wire user_proj_example.\la_data_out [23] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1113]: Warning: Wire user_proj_example.\la_data_out [22] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1114]: Warning: Wire user_proj_example.\la_data_out [21] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1115]: Warning: Wire user_proj_example.\la_data_out [20] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1116]: Warning: Wire user_proj_example.\la_data_out [19] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1117]: Warning: Wire user_proj_example.\la_data_out [18] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1118]: Warning: Wire user_proj_example.\la_data_out [17] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1119]: Warning: Wire user_proj_example.\la_data_out [16] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1120]: Warning: Wire user_proj_example.\la_data_out [15] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1121]: Warning: Wire user_proj_example.\la_data_out [14] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1122]: Warning: Wire user_proj_example.\la_data_out [13] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1123]: Warning: Wire user_proj_example.\la_data_out [12] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1124]: Warning: Wire user_proj_example.\la_data_out [11] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1125]: Warning: Wire user_proj_example.\la_data_out [10] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1126]: Warning: Wire user_proj_example.\la_data_out [9] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1127]: Warning: Wire user_proj_example.\la_data_out [8] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1128]: Warning: Wire user_proj_example.\la_data_out [7] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1129]: Warning: Wire user_proj_example.\la_data_out [6] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1130]: Warning: Wire user_proj_example.\la_data_out [5] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1131]: Warning: Wire user_proj_example.\la_data_out [4] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1132]: Warning: Wire user_proj_example.\la_data_out [3] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1133]: Warning: Wire user_proj_example.\la_data_out [2] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1134]: Warning: Wire user_proj_example.\la_data_out [1] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1135]: Warning: Wire user_proj_example.\la_data_out [0] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1136]: Warning: Wire user_proj_example.\irq [2] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1137]: Warning: Wire user_proj_example.\irq [1] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1138]: Warning: Wire user_proj_example.\irq [0] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1139]: Warning: Wire user_proj_example.\io_out [37] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1140]: Warning: Wire user_proj_example.\io_out [36] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1141]: Warning: Wire user_proj_example.\io_out [35] is used but has no driver.
